Metric,Value,Unit/Description
Total Worker/Compute Nodes,13,nodes
Dedicated/Tainted Pool Nodes,5,nodes
Shared/General-Purpose Nodes,8,nodes
Dedicated Node Definition,Custom scheduling taint on node,Automatically discovered
Dedicated Capacity CPU,111.3700,cores
Dedicated Capacity Memory,465.4854,GiB
Dedicated CPU Requests,40.1500,cores
Dedicated Memory Requests,122.5469,GiB
Dedicated CPU Request Utilization,36.05,%
Dedicated Memory Request Utilization,26.33,%
Dedicated Free CPU,71.2200,cores
Dedicated Free Memory,342.9385,GiB
Shared Capacity CPU,127.1200,cores
Shared Capacity Memory,933.5872,GiB
Shared CPU Requests,73.8750,cores
Shared Memory Requests,183.3211,GiB
Shared CPU Request Utilization,58.11,%
Shared Memory Request Utilization,19.64,%
Shared Free CPU,53.2450,cores
Shared Free Memory,750.2661,GiB
Running Dedicated-Pool Pods,292,pods
Running Pods From Dedicated/Targeted Workloads On Shared Nodes,437,pods (placement issue candidates)
Namespaces Using Both Dedicated And Shared Nodes,16,namespaces (review candidates)
Capacity Method,Actual Running Pod Effective Requests vs Node Allocatable,No replica multiplication
Effective Pod Request,Max(sum app requests), max(init-container request),Kubernetes scheduling semantics
Planning Basis,Requests (scheduler guarantee) — not Limits,Golden rule
Target Utilization,80,% of allocatable (planning headroom)
DaemonSet Avg CPU Per Worker Node,0.9782,cores
DaemonSet Avg Memory Per Worker Node,2.9277,GiB
DaemonSet Running Pods Count,253,pods
DEDICATED [Actual_Running] Recommended Nodes To Add,0,nodes (binding: CPU) OK - within target headroom
SHARED [Actual_Running] Recommended Nodes To Add,0,nodes (binding: CPU) OK - within target headroom
DEDICATED [Desired_Replicas] Recommended Nodes To Add,0,nodes (binding: CPU) OK - desired replicas within target
SHARED [Desired_Replicas] Recommended Nodes To Add,3,nodes (binding: CPU) ADD 3 node(s) for desired replica demand
Growth Scenarios Simulated,10,25,50,percent request increase
DEDICATED +10% Growth Nodes To Add,0,nodes (CPU)
DEDICATED +25% Growth Nodes To Add,0,nodes (CPU)
DEDICATED +50% Growth Nodes To Add,0,nodes (CPU)
SHARED +10% Growth Nodes To Add,0,nodes (CPU)
SHARED +25% Growth Nodes To Add,0,nodes (CPU)
SHARED +50% Growth Nodes To Add,1,nodes (CPU)
